import time: self [us] | cumulative | imported package
import time:        55 |      24351 |                               urllib3.util.connection
import time:      1306 |      25657 |                             urllib3._base_connection
import time:      1321 |       1321 |                             urllib3._collections
import time:       284 |        284 |                             urllib3._version
import time:       414 |        414 |                                 _queue
import time:       865 |       1279 |                               queue
import time:       178 |        178 |                                       _winapi
import time:       104 |        104 |                                       winreg
import time:       851 |       1132 |                                     mimetypes
import time:       826 |       1957 |                                   urllib3.fields
import time:       559 |       2515 |                                 urllib3.filepost
import time:       164 |        164 |                                   brotlicffi
import time:       105 |        105 |                                   brotli
import time:       580 |        580 |                                     urllib3.http2
import time:       696 |        696 |                                     urllib3.http2.probe
import time:       751 |        751 |                                     urllib3.util.ssl_match_hostname
import time:      1766 |       3791 |                                   urllib3.connection
import time:       162 |        162 |                                   backports
import time:      1320 |       5540 |                                 urllib3.response
import time:       625 |       8680 |                               urllib3._request_methods
import time:       320 |        320 |                               urllib3.util.proxy
import time:      1140 |      11416 |                             urllib3.connectionpool
import time:      1991 |       1991 |                             urllib3.poolmanager
import time:       676 |      42968 |                           urllib3
import time:       663 |        663 |                                   81d243bd2c585b0f4821__mypyc
import time:      2627 |       2627 |                                   charset_normalizer.constant
import time:       391 |        391 |                                     unicodedata
import time:       359 |        359 |                                     _multibytecodec
import time:      1193 |       1942 |                                   charset_normalizer.utils
import time:       920 |        920 |                                   charset_normalizer.models
import time:      1171 |       7320 |                                 charset_normalizer.cd
import time:       379 |        379 |                                 _codecs_tw
import time:       349 |        349 |                                 _codecs_hk
import time:       485 |        485 |                                 _codecs_jp
import time:       325 |        325 |                                 _codecs_kr
import time:       367 |        367 |                                 _codecs_cn
import time:       316 |        316 |                                 _codecs_iso2022
import time:     60422 |      69960 |                               charset_normalizer.api
import time:       317 |        317 |                               charset_normalizer.legacy
import time:       226 |        226 |                               charset_normalizer.version
import time:       146 |        146 |                               simplejson
import time:       508 |        508 |                                     urllib.response
import time:       574 |       1082 |                                   urllib.error
import time:      2983 |       4065 |                                 urllib.request
import time:     23162 |      27226 |                               http.cookiejar
import time:      3596 |       3596 |                               http.cookies
import time:      1258 |     102726 |                             requests.compat
import time:      1411 |     104137 |                           requests.exceptions
import time:       207 |        207 |                           chardet
import time:       392 |        392 |                                 idna.idnadata
import time:       237 |        237 |                                 idna.intranges
import time:      1752 |       2380 |                               idna.core
import time:       259 |        259 |                               idna.package_data
import time:       528 |       3166 |                             idna
import time:      1029 |       4195 |                           requests.packages
import time:       395 |        395 |                                 certifi.core
import time:       345 |        739 |                               certifi
import time:       280 |       1019 |                             requests.certs
import time:       213 |        213 |                             requests.__version__
import time:       682 |        682 |                             requests._internal_utils
import time:       693 |        693 |                             requests._types
import time:      1063 |       1063 |                             requests.cookies
import time:       631 |        631 |                             requests.structures
import time:       501 |        501 |                                 importlib.resources._itertools
import time:       616 |       1117 |                               importlib.resources.readers
import time:       262 |       1378 |                             importlib.readers
import time:      1458 |       7133 |                           requests.utils
import time:      1121 |       1121 |                                 requests.auth
import time:       854 |        854 |                                     stringprep
import time:       633 |       1486 |                                   encodings.idna
import time:       415 |        415 |                                   requests.hooks
import time:       784 |        784 |                                   requests.status_codes
import time:      1040 |       3724 |                                 requests.models
import time:       320 |        320 |                                   urllib3.contrib
import time:       156 |        156 |                                   socks
import time:       564 |       1038 |                                 urllib3.contrib.socks
import time:      1048 |       6929 |                               requests.adapters
import time:       826 |       7755 |                             requests.sessions
import time:       417 |       8171 |                           requests.api
import time:       695 |     167502 |                         requests
import time:        44 |     167545 |                       requests.exceptions
import time:       346 |        346 |                         google.auth.version
import time:       248 |        248 |                           google.auth.environment_vars
import time:       802 |        802 |                           google.auth.exceptions
import time:       595 |       1644 |                         google.auth._default
import time:       474 |       2462 |                       google.auth
import time:       721 |     170727 |                     google.api_core.retry.retry_base
import time:       425 |        425 |                     google.api_core.retry.retry_unary
import time:       329 |        329 |                     google.api_core.retry.retry_unary_async
import time:       447 |        447 |                     google.api_core.retry.retry_streaming
import time:       361 |        361 |                     google.api_core.retry.retry_streaming_async
import time:       419 |        419 |                       google.protobuf.timestamp_pb2
import time:       914 |       1333 |                     google.api_core.datetime_helpers
import time:       398 |     174017 |                   google.api_core.retry
import time:       431 |        431 |                   google.api_core.timeout
import time:       614 |     175061 |                 google.api_core.gapic_v1.config
import time:       317 |        317 |                   google.api_core.retry_async
import time:       333 |        650 |                 google.api_core.gapic_v1.config_async
import time:       917 |        917 |                       google.auth._helpers
import time:      1184 |       1184 |                       google.auth._regional_access_boundary_utils
import time:       347 |        347 |                       google.auth.metrics
import time:       336 |        336 |                       google.auth._credentials_base
import time:       338 |        338 |                       google.auth._refresh_worker
import time:      4353 |       7474 |                     google.auth.credentials
import time:       431 |        431 |                       google.auth.transport
import time:       441 |        441 |                         google.auth._agent_identity_utils
import time:      1135 |       1575 |                       google.auth.transport._mtls_helper
import time:       341 |        341 |                       google.oauth2
import time:       475 |        475 |                             google.auth.crypt.base
import time:      1494 |       1494 |                               dataclasses
import time:       592 |        592 |                                   cryptography.__about__
import time:       599 |       1190 |                                 cryptography
import time:       282 |        282 |                                     cryptography.hazmat
import time:       524 |        806 |                                   cryptography.hazmat.bindings
import time:      1009 |       1009 |                                   _cffi_backend
import time:      5125 |       6939 |                                 cryptography.hazmat.bindings._rust
import time:       490 |       8619 |                               cryptography.exceptions
import time:       355 |        355 |                               cryptography.hazmat.backends
import time:       296 |        296 |                               cryptography.hazmat.primitives
import time:       967 |        967 |                                 cryptography.utils
import time:      1112 |       2078 |                               cryptography.hazmat.primitives.hashes
import time:      1019 |       1019 |                                 cryptography.hazmat.primitives._serialization
import time:       632 |        632 |                                 cryptography.hazmat.primitives.serialization.base
import time:       510 |        510 |                                   cryptography.hazmat.primitives.asymmetric
import time:       514 |        514 |                                     cryptography.hazmat.primitives.asymmetric.utils
import time:       885 |       1399 |                                   cryptography.hazmat.primitives.asymmetric.dsa
import time:      1625 |       1625 |                                     cryptography.hazmat._oid
import time:      1322 |       2947 |                                   cryptography.hazmat.primitives.asymmetric.ec
import time:       480 |        480 |                                   cryptography.hazmat.primitives.asymmetric.ed25519
import time:       363 |        363 |                                     cryptography.hazmat.primitives._asymmetric
import time:       619 |        619 |                                     cryptography.hazmat.primitives.asymmetric.rsa
import time:      2078 |       3058 |                                   cryptography.hazmat.primitives.asymmetric.padding
import time:       403 |        403 |                                     cryptography.hazmat.primitives._cipheralgorithm
import time:       264 |        264 |                                             cryptography.hazmat.decrepit
import time:       347 |        611 |                                           cryptography.hazmat.decrepit.ciphers
import time:       493 |        493 |                                           cryptography.hazmat.primitives._modes
import time:       444 |       1547 |                                         cryptography.hazmat.decrepit.ciphers.modes
import time:       627 |        627 |                                           cryptography.hazmat.decrepit.ciphers.algorithms
import time:       568 |       1195 |                                         cryptography.hazmat.primitives.ciphers.algorithms
import time:       779 |       3520 |                                       cryptography.hazmat.primitives.ciphers.modes
import time:      1293 |       4812 |                                     cryptography.hazmat.primitives.ciphers.base
import time:       379 |       5594 |                                   cryptography.hazmat.primitives.ciphers
import time:       169 |        169 |                                   bcrypt
import time:      3893 |      18047 |                                 cryptography.hazmat.primitives.serialization.ssh
import time:       460 |      20156 |                               cryptography.hazmat.primitives.serialization
import time:      1131 |       1131 |                                 cryptography.x509.certificate_transparency
import time:       558 |        558 |                                 cryptography.x509.oid
import time:     17140 |      17140 |                                     cryptography.x509.name
import time:       804 |      17943 |                                   cryptography.x509.general_name
import time:       571 |      18514 |                                 cryptography.x509.verification
import time:       517 |        517 |                                   cryptography.hazmat.primitives.asymmetric.ed448
import time:       417 |        417 |                                   cryptography.hazmat.primitives.asymmetric.x448
import time:       389 |        389 |                                   cryptography.hazmat.primitives.asymmetric.x25519
import time:       569 |        569 |                                     cryptography.hazmat.primitives.asymmetric.dh
import time:       630 |        630 |                                     cryptography.hazmat.primitives.asymmetric.mldsa
import time:       497 |        497 |                                     cryptography.hazmat.primitives.asymmetric.mlkem
import time:       660 |       2354 |                                   cryptography.hazmat.primitives.asymmetric.types
import time:       310 |        310 |                                     cryptography.hazmat.primitives.constant_time
import time:      3544 |       3854 |                                   cryptography.x509.extensions
import time:      1858 |       9387 |                                 cryptography.x509.base
import time:       632 |      30221 |                               cryptography.x509
import time:       332 |        332 |                                     cryptography.hazmat.bindings.openssl
import time:       310 |        310 |                                       cryptography.hazmat.bindings.openssl._conditional
import time:      2080 |       2389 |                                     cryptography.hazmat.bindings.openssl.binding
import time:       810 |       3530 |                                   cryptography.hazmat.backends.openssl.backend
import time:       804 |       4334 |                                 cryptography.hazmat.backends.openssl
import time:        33 |       4366 |                               cryptography.hazmat.backends.openssl.backend
import time:      1620 |      69201 |                             google.auth.crypt.es
import time:       391 |        391 |                             google.auth.crypt.es256
import time:       512 |        512 |                               google.auth.crypt._cryptography_rsa
import time:       402 |        914 |                             google.auth.crypt.rsa
import time:       443 |      71422 |                           google.auth.crypt
import time:       290 |      71712 |                         google.auth._service_account_info
import time:       368 |        368 |                           google.auth._exponential_backoff
import time:       441 |        809 |                         google.auth.iam
import time:       340 |        340 |                           google.auth._cache
import time:       882 |       1222 |                         google.auth.jwt
import time:       641 |        641 |                         google.oauth2._client
import time:      1026 |      75407 |                       google.oauth2.service_account
import time:       664 |      78417 |                     google.auth.transport.grpc
import time:      1197 |       1197 |                     google.auth.transport.requests
import time:      1702 |      88788 |                   google.api_core.grpc_helpers
import time:       812 |      89600 |                 google.api_core.gapic_v1.method
import time:      1978 |       1978 |                   google.api_core.grpc_helpers_async
import time:       579 |       2556 |                 google.api_core.gapic_v1.method_async
import time:       389 |        389 |                 google.api_core.gapic_v1.routing_header
import time:       602 |     271448 |               google.api_core.gapic_v1
import time:       415 |        415 |               google.auth.transport.mtls
import time:       399 |        399 |               google.api_core.client_logging
import time:      2710 |       2710 |                         google.protobuf.descriptor_pb2
import time:       405 |        405 |                                   google.protobuf.field_mask_pb2
import time:       468 |        468 |                                   google.protobuf.struct_pb2
import time:       573 |        573 |                                   google.protobuf.wrappers_pb2
import time:       296 |        296 |                                     google.protobuf.pyext._message
import time:       313 |        608 |                                   proto.marshal.compat
import time:       451 |        451 |                                       proto.utils
import time:       512 |        963 |                                     proto.marshal.collections.maps
import time:       510 |        510 |                                     proto.marshal.collections.repeated
import time:       310 |       1782 |                                   proto.marshal.collections
import time:       238 |        238 |                                   proto.marshal.rules
import time:       384 |        384 |                                   proto.marshal.rules.bytes
import time:      1553 |       1553 |                                     proto.primitives
import time:       359 |       1912 |                                   proto.marshal.rules.stringy_numbers
import time:       593 |        593 |                                     proto.datetime_helpers
import time:       405 |        997 |                                   proto.marshal.rules.dates
import time:       406 |        406 |                                   proto.marshal.rules.struct
import time:       396 |        396 |                                   proto.marshal.rules.wrappers
import time:       230 |        230 |                                   proto.marshal.rules.field_mask
import time:       908 |       9302 |                                 proto.marshal.marshal
import time:       272 |       9573 |                               proto.marshal
import time:        42 |       9614 |                             proto.marshal.rules
import time:       300 |       9914 |                           proto.marshal.rules.message
import time:       757 |      10670 |                         proto._file_info
import time:       237 |        237 |                         proto._package_info
import time:       451 |        451 |                         proto.marshal.rules.enums
import time:       862 |      14928 |                       proto.enums
import time:       396 |        396 |                       proto.fields
import time:      1575 |       1575 |                         google.protobuf.json_format
import time:       844 |       2418 |                       proto.message
import time:       518 |        518 |                       proto.modules
import time:       223 |        223 |                       proto.version
import time:       870 |      19351 |                     proto
import time:    773659 |     793010 |                   google.cloud.compute_v1.types.compute
import time:      2055 |     795064 |                 google.cloud.compute_v1.types
import time:       883 |     795946 |               google.cloud.compute_v1.services.accelerator_types.pagers
import time:       982 |        982 |                   google.cloud.compute_v1.services.accelerator_types.transports.base
import time:       330 |        330 |                     google.api_core.rest_helpers
import time:       347 |        347 |                       google.api_core._rest_streaming_base
import time:       314 |        661 |                     google.api_core.rest_streaming
import time:       836 |        836 |                       google.api_core.path_template
import time:       555 |       1391 |                     google.cloud.compute_v1.services.accelerator_types.transports.rest_base
import time:      2165 |       4545 |                   google.cloud.compute_v1.services.accelerator_types.transports.rest
import time:       554 |       6080 |                 google.cloud.compute_v1.services.accelerator_types.transports
import time:        64 |       6143 |               google.cloud.compute_v1.services.accelerator_types.transports.base
import time:      1884 |    1197999 |             google.cloud.compute_v1.services.accelerator_types.client
import time:       546 |    1198812 |           google.cloud.compute_v1.services.accelerator_types
import time:       373 |        373 |                   google.api_core.future.base
import time:       264 |        636 |                 google.api_core.future
import time:       289 |        289 |                   google.api_core.future._helpers
import time:       441 |        729 |                 google.api_core.future.polling
import time:       396 |       1761 |               google.api_core.extended_operation
import time:       593 |        593 |               google.cloud.compute_v1.services.addresses.pagers
import time:       418 |        418 |                         google.cloud.compute_v1.services.region_operations.pagers
import time:      1076 |       1076 |                             google.cloud.compute_v1.services.region_operations.transports.base
import time:       638 |        638 |                               google.cloud.compute_v1.services.region_operations.transports.rest_base
import time:      2278 |       2916 |                             google.cloud.compute_v1.services.region_operations.transports.rest
import time:       377 |       4368 |                           google.cloud.compute_v1.services.region_operations.transports
import time:        38 |       4405 |                         google.cloud.compute_v1.services.region_operations.transports.base
import time:      1261 |       6083 |                       google.cloud.compute_v1.services.region_operations.client
import time:       257 |       6339 |                     google.cloud.compute_v1.services.region_operations
import time:       968 |       7307 |                   google.cloud.compute_v1.services.addresses.transports.base
import time:      1076 |       1076 |                     google.cloud.compute_v1.services.addresses.transports.rest_base
import time:      2840 |       3915 |                   google.cloud.compute_v1.services.addresses.transports.rest
import time:       302 |      11523 |                 google.cloud.compute_v1.services.addresses.transports
import time:        36 |      11559 |               google.cloud.compute_v1.services.addresses.transports.base
import time:      2029 |      15941 |             google.cloud.compute_v1.services.addresses.client
import time:       631 |      16571 |           google.cloud.compute_v1.services.addresses
import time:      1034 |       1034 |                   google.cloud.compute_v1.services.advice.transports.base
import time:       480 |        480 |                     google.cloud.compute_v1.services.advice.transports.rest_base
import time:      1789 |       2269 |                   google.cloud.compute_v1.services.advice.transports.rest
import time:       395 |       3697 |                 google.cloud.compute_v1.services.advice.transports
import time:       214 |       3910 |               google.cloud.compute_v1.services.advice.transports.base
import time:      1113 |       5022 |             google.cloud.compute_v1.services.advice.client
import time:       344 |       5366 |           google.cloud.compute_v1.services.advice
import time:       685 |        685 |               google.cloud.compute_v1.services.autoscalers.pagers
import time:       415 |        415 |                         google.cloud.compute_v1.services.zone_operations.pagers
import time:       802 |        802 |                             google.cloud.compute_v1.services.zone_operations.transports.base
import time:       576 |        576 |                               google.cloud.compute_v1.services.zone_operations.transports.rest_base
import time:      2225 |       2801 |                             google.cloud.compute_v1.services.zone_operations.transports.rest
import time:       328 |       3929 |                           google.cloud.compute_v1.services.zone_operations.transports
import time:        38 |       3967 |                         google.cloud.compute_v1.services.zone_operations.transports.base
