import time: self [us] | cumulative | imported package
import time:       428 |       1608 |             google.protobuf.symbol_database
import time:       275 |        275 |               google.protobuf.reflection
import time:       309 |        583 |             google.protobuf.internal.builder
import time:       669 |        669 |               google.protobuf.runtime_version
import time:       488 |       1156 |             google.protobuf.duration_pb2
import time:      1153 |      27827 |           google.rpc.error_details_pb2
import time:       394 |        394 |           grpc_status
import time:       349 |        349 |               google.protobuf.any_pb2
import time:       351 |        700 |             google.rpc.status_pb2
import time:       259 |        259 |             grpc_status._common
import time:      1250 |       1250 |                 grpc._simple_stubs
import time:       742 |       1991 |               grpc.experimental
import time:       425 |        425 |               grpc.experimental.aio
import time:       319 |       2734 |             grpc_status._async
import time:       762 |       4453 |           grpc_status.rpc_status
import time:      2108 |      39828 |         google.api_core.exceptions
import time:      1786 |       1786 |                   urllib3.exceptions
import time:       611 |        611 |                           urllib3.util.timeout
import time:       574 |       1185 |                         urllib3.util.connection
import time:       245 |        245 |                           urllib3.util.util
import time:       141 |        141 |                           brotlicffi
import time:       102 |        102 |                           brotli
import time:        99 |         99 |                           backports
import time:      1041 |       1626 |                         urllib3.util.request
import time:       290 |        290 |                         urllib3.util.response
import time:       910 |        910 |                         urllib3.util.retry
import time:       465 |        465 |                           hmac
import time:     92514 |      92514 |                           urllib3.util.url
import time:       675 |        675 |                           urllib3.util.ssltransport
import time:       680 |      94333 |                         urllib3.util.ssl_
import time:       308 |        308 |                         urllib3.util.wait
import time:       444 |      99093 |                       urllib3.util
import time:        55 |      99147 |                     urllib3.util.connection
import time:      1434 |     100580 |                   urllib3._base_connection
import time:      1199 |       1199 |                   urllib3._collections
import time:       285 |        285 |                   urllib3._version
import time:       397 |        397 |                       _queue
import time:       789 |       1186 |                     queue
import time:       310 |        310 |                             _json
import time:      1260 |       1569 |                           json.scanner
import time:       793 |       2362 |                         json.decoder
import time:       770 |        770 |                         json.encoder
import time:       414 |       3546 |                       json
import time:       160 |        160 |                             _winapi
import time:       106 |        106 |                             winreg
import time:       601 |        866 |                           mimetypes
import time:       553 |       1418 |                         urllib3.fields
import time:       476 |       1894 |                       urllib3.filepost
import time:       152 |        152 |                         brotlicffi
import time:       106 |        106 |                         brotli
import time:       350 |        350 |                           urllib3.http2
import time:       492 |        492 |                           urllib3.http2.probe
import time:       322 |        322 |                           urllib3.util.ssl_match_hostname
import time:      1724 |       2886 |                         urllib3.connection
import time:       150 |        150 |                         backports
import time:      1265 |       4558 |                       urllib3.response
import time:       551 |      10547 |                     urllib3._request_methods
import time:       279 |        279 |                     urllib3.util.proxy
import time:       851 |      12861 |                   urllib3.connectionpool
import time:      1999 |       1999 |                   urllib3.poolmanager
import time:       671 |     119379 |                 urllib3
import time:       485 |        485 |                         81d243bd2c585b0f4821__mypyc
import time:      4237 |       4237 |                         charset_normalizer.constant
import time:       385 |        385 |                           unicodedata
import time:       338 |        338 |                           _multibytecodec
import time:       959 |       1680 |                         charset_normalizer.utils
import time:       665 |        665 |                         charset_normalizer.models
import time:      1059 |       8124 |                       charset_normalizer.cd
import time:       351 |        351 |                       _codecs_tw
import time:       305 |        305 |                       _codecs_hk
import time:       464 |        464 |                       _codecs_jp
import time:       413 |        413 |                       _codecs_kr
import time:       462 |        462 |                       _codecs_cn
import time:       286 |        286 |                       _codecs_iso2022
import time:     40812 |      51213 |                     charset_normalizer.api
import time:       369 |        369 |                     charset_normalizer.legacy
import time:       281 |        281 |                     charset_normalizer.version
import time:       163 |        163 |                     simplejson
import time:       532 |        532 |                           urllib.response
import time:       504 |       1036 |                         urllib.error
import time:      2819 |       3854 |                       urllib.request
import time:      6105 |       9958 |                     http.cookiejar
import time:      2163 |       2163 |                     http.cookies
import time:      1026 |      65170 |                   requests.compat
import time:      1195 |      66364 |                 requests.exceptions
import time:       175 |        175 |                 chardet
import time:       479 |        479 |                       idna.idnadata
import time:       322 |        322 |                       idna.intranges
import time:      1778 |       2578 |                     idna.core
import time:       275 |        275 |                     idna.package_data
import time:       506 |       3358 |                   idna
import time:      1061 |       4418 |                 requests.packages
import time:       460 |        460 |                       certifi.core
import time:       409 |        869 |                     certifi
import time:       292 |       1161 |                   requests.certs
import time:       258 |        258 |                   requests.__version__
import time:       812 |        812 |                   requests._internal_utils
import time:       772 |        772 |                   requests._types
import time:      1075 |       1075 |                   requests.cookies
import time:       695 |        695 |                   requests.structures
import time:       265 |        265 |                       importlib.resources._itertools
import time:       709 |        974 |                     importlib.resources.readers
import time:       304 |       1278 |                   importlib.readers
import time:      1414 |       7461 |                 requests.utils
import time:       816 |        816 |                       requests.auth
import time:       673 |        673 |                           stringprep
import time:       642 |       1314 |                         encodings.idna
import time:       397 |        397 |                         requests.hooks
import time:       827 |        827 |                         requests.status_codes
import time:      1025 |       3562 |                       requests.models
import time:       324 |        324 |                         urllib3.contrib
import time:       159 |        159 |                         socks
import time:       614 |       1096 |                       urllib3.contrib.socks
import time:       793 |       6266 |                     requests.adapters
import time:       898 |       7163 |                   requests.sessions
import time:       429 |       7591 |                 requests.api
import time:       621 |     206006 |               requests
import time:        46 |     206052 |             requests.exceptions
import time:       462 |        462 |               google.auth.version
import time:       310 |        310 |                 google.auth.environment_vars
import time:       800 |        800 |                 google.auth.exceptions
import time:       703 |       1812 |               google.auth._default
import time:       459 |       2732 |             google.auth
