Package Name,APIs Populated,Detected Type,Has Mypy Post-Processing
bigframes,False,Handwritten,False
bigquery-magics,False,Handwritten,False
db-dtypes,False,Handwritten,False
django-google-spanner,False,Handwritten,False
gapic-generator,False,Handwritten,False
gcp-sphinx-docfx-yaml,False,Handwritten,False
google-ads-admanager,True,GAPIC_AUTO,False
google-ads-datamanager,True,GAPIC_AUTO,False
google-ads-marketingplatform-admin,True,GAPIC_AUTO,False
google-ai-generativelanguage,True,GAPIC_AUTO,False
google-analytics-admin,True,GAPIC_AUTO,False
google-analytics-data,True,GAPIC_AUTO,False
google-api-core,False,Handwritten,False
google-apps-card,True,GAPIC_AUTO,False
google-apps-chat,True,GAPIC_AUTO,False
google-apps-events-subscriptions,True,GAPIC_AUTO,False
google-apps-meet,True,GAPIC_AUTO,False
google-apps-script-type,True,GAPIC_AUTO,False
google-area120-tables,True,GAPIC_AUTO,False
google-auth,False,Handwritten,False
google-auth-httplib2,False,Handwritten,False
google-auth-oauthlib,False,Handwritten,False
google-backstory,True,GAPIC_AUTO,False
google-cloud-access-approval,True,GAPIC_AUTO,False
google-cloud-access-context-manager,True,GAPIC_AUTO,False
google-cloud-advisorynotifications,True,GAPIC_AUTO,False
google-cloud-agentidentitycredentials,True,GAPIC_AUTO,False
google-cloud-alloydb,True,GAPIC_AUTO,False
google-cloud-alloydb-connectors,True,GAPIC_AUTO,False
google-cloud-api-gateway,True,GAPIC_AUTO,False
google-cloud-api-keys,True,GAPIC_AUTO,False
google-cloud-apigee-connect,True,GAPIC_AUTO,False
google-cloud-apigee-registry,True,GAPIC_AUTO,False
google-cloud-apihub,True,GAPIC_AUTO,False
google-cloud-apiregistry,True,GAPIC_AUTO,False
google-cloud-appengine-admin,True,GAPIC_AUTO,False
google-cloud-appengine-logging,True,GAPIC_AUTO,False
google-cloud-apphub,True,GAPIC_AUTO,False
google-cloud-appoptimize,True,GAPIC_AUTO,False
google-cloud-artifact-registry,True,GAPIC_AUTO,False
google-cloud-asset,True,GAPIC_AUTO,False
google-cloud-assured-workloads,True,GAPIC_AUTO,False
google-cloud-audit-log,True,GAPIC_AUTO,False
